restaurant/1 copy.jpg;Q:Is there any obstacle in front of me;A:Yes, there's a big table.
stairscase/HO_06_04_4000_07_l.jpg;Q:Should I anticipate stairs soon ahead;A:Yes, straight ahead on the left.
videostore/2vhs.jpg;Q:How do I find the way out;A:Go straight and turn right.
videostore/410w.jpg;Q:Is there anything blocking my way;A:Yes. There is a large cabinet.
videostore/4209435fb5962_87_1.jpg;Q:Can I walk straight safely;A:Yes. You can go ahead.
videostore/blockbuster_46_07_flickr.jpg;Q:Is my way obstructed;A:No.
videostore/doc48751f34922.jpg;Q:Is there something ahead that could trip me;A:Yes, there's a large cabinet in front of you.
videostore/jobeth2.jpg;Q:Anything blocking the route forward;A:No.
videostore/videoclub_03_02_flickr.jpg;Q:Anything dangerous in my path;A:No. Please go ahead.
videostore/videoclub_04_17_flickr.jpg;Q:Is anything in my immediate way;A:No.
videostore/videoclub_14_07_altavista.jpg;Q:Any obstacles right in front;A:No, there's a chair on your right.
videostore/videostore2.jpg;Q:Is there anything directly in my path;A:No. You can go straight.
videostore/videoteca_06_12_flickr.jpg;Q:Do I have an obstacle ahead;A:Yes, there is a big shelf.
videostore/videoteca_13_10_altavista.jpg;Q:Is my immediate way clear;A:Yes.
videostore/videotheque_02_02_flickr.jpg;Q:Can I keep walking ahead safely;A:Yes. Please go ahead.
waitingroom/7.jpg;Q:Any furniture in my immediate path;A:Yes, a chair is ahead of you.
waitingroom/7F_Clinic_Waiting_Room.jpg;Q:Any obstacle in my immediate forward direction;A:Yes, there’s a chair right there.
waitingroom/71_full.jpg;Q:Is the area ahead obstacle-free;A:No, there’s a table blocking your way.
waitingroom/105NC_New_Reception_area_on_7th_floor.jpg;Q:Any furniture in my immediate path;A:Yes, a table is ahead of you.
waitingroom/800px_VTBS_Waiting_room_of_Thai_Airways.jpg;Q:Do I have any obstruction directly ahead;A:Yes, there are two chairs.
waitingroom/1114_Milton_Road_3.jpg;Q:How can I leave this room quickly;A:Go ahead.
waitingroom/Aug29_2007.jpg;Q:Is anything ahead I need to avoid;A:Yes, there’s a chair right there.
waitingroom/be158920.jpg;Q:What’s the easiest way to exit here;A:Turn left and turn right, Move ahead.
waitingroom/Bistro_3_BMP.jpg;Q:Is my forward path safe and clear;A:Yes, you can go ahead.
waitingroom/cab3.jpg;Q:Do I have an obstacle ahead;A:Yes, there's a table right there.
waitingroom/egf_waitingroom.jpg;Q:Can you tell me the way to leave;A:Move straight and the door is on your left.
waitingroom/general_waiting_area.jpg;Q:Where should I go to leave this place;A:Forward, then turn right.
waitingroom/IMG_1658.jpg;Q:Can I step forward freely;A:No, there's a chair in front.
waitingroom/JHC_3.jpg;Q:How do I leave this spot;A:Go straight ahead.
waitingroom/rujin_femme.jpg;Q:Is the space ahead free from obstructions;A:Yes. Go straight ahead.
waitingroom/sala_de_espera_01_14_altavista.jpg;Q:What's my path to get out;A:Go forward a few steps and turn left.
waitingroom/sala_de_espera_17_13_altavista.jpg;Q:Is there a stairway close by;A:No. But there is a table.
waitingroom/salat2.jpg;Q:How do I leave from here easily;A:Go forward.
waitingroom/waiting_ig.jpg;Q:What's my best route to exit;A:Go straight, exit door on left.
waitingroom/Waiting_Room_1.jpg;Q:How can I safely exit;A:Move straight ahead and turn right.
waitingroom/waiting_room_16_13_altavista.jpg;Q:Can I step forward freely;A:No, there's a chair in front.
waitingroom/waiting_room_24_20_altavista.jpg;Q:What’s my exit route;A:Move forward, turn right.
waitingroom/waiting_room_33_15_altavista.jpg;Q:Do I have something in front of me;A:Yes, there's a chair ahead of you.
waitingroom/waiting_room236.jpg;Q:How can I leave this room quickly;A:Go ahead, then left.
waitingroom/waitingroom04.jpg;Q:Is the path clear ahead;A:No, there's a table blocking the way.
waitingroom/wroom2.jpg;Q:What’s the direction to leave here;A:Move ahead, then left.
waitingroom/WtRoomJan06.jpg;Q:Do I have any obstruction directly ahead;A:Yes, there are lots of chairs.













































































